BBS;Uniprot_ID;Specie_ID;Specie;Rank_1;Rank_2;Transcrit_ID;Gene_ID;Gene_length;%GC;Nbr_exon;Exon_length;Intron_length;Total_error;Err_Nter;Err_Interne;Err_Cter;Type;Repeats/Low_complexity;UDT;Protein_length;5' UTR;3' UTR
BBS3;ARL6_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000335979;ENSG00000113966;36709;34.36;9;181.1;4048.1;0;0;0;0;Confirmed;0;0;186;True;True
BBS11;TRI32_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000373983;ENSG00000119401;13999;43.3;2;1844.0;10283.0;0;0;0;0;Confirmed;0;0;653;True;True
BBS21;CH037_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000286688;ENSG00000156172;24289;37.4;6;556.7;4189.8;0;0;0;0;Confirmed;0;0;207;True;True
BBS10;BBS10_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000393262;ENSG00000179941;3969;37.16;2;1797.5;374.0;0;0;0;0;Confirmed;0;0;723;True;True
BBS1;BBS1_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000318312;ENSG00000174483;23008;49.92;17;198.1;1224.8;0;0;0;0;Confirmed;0;0;593;True;True
BBS17;LZTL1_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000296135;ENSG00000163818;92727;42.03;10;402.6;1642.0;0;0;0;0;Confirmed;0;0;299;True;True
BBS7;H2QQ41_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000030517;ENSPTRG00000016411;49045;36.0;20;244.1;2324.4;1;0;1;0;Unconfirmed;0;0;702;True;False
BBS4;H2RCJ0_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000065829;ENSPTRG00000007255;51793;40.73;16;131.6;3312.5;1;1;0;0;Unconfirmed;0;0;527;False;True
BBS12;H2QQ46_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000030529;ENSPTRG00000016420;2133;39.8;1;2133.0;0;0;0;0;0;Confirmed;0;0;710;True;True
BBS13;H2QDI7_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000017324;ENSPTRG00000009447;14085;47.39;18;133.4;674.9;0;0;0;0;Confirmed;0;0;559;True;True
BBS21;H2QWG3_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000037815;ENSPTRG00000020437;24825;37.79;6;651.7;4183.0;0;0;0;0;Confirmed;0;0;207;True;True
BBS11;H2QXS4_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000039392;ENSPTRG00000021298;1962;54.49;1;1962.0;0;0;0;0;0;Confirmed;0;0;648;True;True
BBS20;H2QX35_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000038544;ENSPTRG00000020833;115643;37.58;20;108.5;5972.3;0;0;0;0;Confirmed;0;0;600;True;True
BBS3;H2QMZ4_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000028319;ENSPTRG00000015139;36919;34.6;7;81.0;4685.2;0;0;0;0;Confirmed;0;0;186;True;True
BBS19;H2R6Z7_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000026748;ENSPTRG00000014316;18198;51.1;7;191.7;2809.3;1;1;0;0;Unconfirmed;0;0;169;True;True
BBS17;H2QMG1_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000027744;ENSPTRG00000014840;90675;41.86;10;342.3;1646.7;0;0;0;0;Confirmed;0;0;299;True;True
BBS16;H2Q1F4_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000003979;ENSPTRG00000002173;252697;39.91;18;145.7;14710.3;1;0;1;0;Unconfirmed;8394;8394;670;True;True
BBS18;G2HEF9_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000066025;ENSPTRG00000034485;20921;38.55;4;500.5;6153.7;1;1;0;0;Unconfirmed;0;0;92;True;True
BBS9;H2QUE8_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000035246;ENSPTRG00000019069;458160;37.3;21;126.1;22775.5;0;0;0;0;Confirmed;125;125;887;True;True
BBS2;H2QB48_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000014991;ENSPTRG00000008133;37035;39.6;17;173.9;2129.9;0;0;0;0;Confirmed;0;0;721;True;True
BBS10;H2Q6I5_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000009638;ENSPTRG00000005241;4589;39.51;2;2107.5;374.0;0;0;0;0;Confirmed;0;0;723;True;True
BBS8;H2Q8R7_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000012147;ENSPTRG00000006610;54052;36.71;14;154.5;3935.7;1;0;1;0;Unconfirmed;0;0;531;True;True
BBS15;H2R2S2_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000047618;ENSPTRG00000024270;481293;37.27;18;162.9;28138.9;1;1;0;0;Unconfirmed;2214;2214;746;True;True
BBS6;H2QJY8_PANTR;PANTR;Pan troglodytes;Opisthokonta;Metazoa;ENSPTRT00000024631;ENSPTRG00000013247;15530;36.49;5;472.0;3292.5;0;0;0;0;Confirmed;0;0;570;True;True
BBS16;G3QXK4_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000007752;ENSGGOG00000007709;254406;39.8;18;145.4;14811.1;0;0;0;0;Confirmed;1159;1159;713;True;True
BBS20;G3QWF1_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000007296;ENSGGOG00000007259;115695;37.51;18;108.2;5827.3;0;0;0;0;Confirmed;1649;1649;600;True;True
BBS8;G3SKE1_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000041059;ENSGGOG00000034849;53033;36.56;15;146.1;3626.6;1;0;1;0;Unconfirmed;63;63;531;True;True
BBS5;G3QRG0_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000005348;ENSGGOG00000005322;25135;38.35;11;102.0;2375.4;0;0;0;0;Confirmed;150;150;342;True;True
BBS10;G3S2X3_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000024352;ENSGGOG00000023091;3944;37.35;2;1785.0;374.0;0;0;0;0;Confirmed;0;0;723;True;True
BBS9;G3QYJ9_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000008156;ENSGGOG00000008112;533854;37.02;21;126.1;26560.2;0;0;0;0;Confirmed;6418;6418;887;True;True
BBS17;G3QI68_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000002116;ENSGGOG00000002103;117416;42.51;10;333.0;12601.2;0;0;0;0;Confirmed;150;150;299;True;True
BBS2;G3RIZ2_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000016110;ENSGGOG00000016051;37064;39.48;17;174.2;2131.4;0;0;0;0;Confirmed;0;0;721;True;True
BBS4;G3QMT8_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000003928;ENSGGOG00000003903;52613;40.57;16;156.2;3340.9;0;0;0;0;Confirmed;506;506;519;True;True
BBS12;G3S2G4_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000022179;ENSGGOG00000024815;2133;40.08;1;2133.0;0;0;0;0;0;Confirmed;0;0;710;False;False
BBS6;G3SHD1_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000032989;ENSGGOG00000024430;29180;38.74;6;446.7;5300.0;0;0;0;0;Confirmed;0;0;570;True;True
BBS15;G3R8E0_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000011982;ENSGGOG00000011930;516345;37.26;18;124.5;30241.4;1;1;0;0;Unconfirmed;16074;16074;746;True;True
BBS3;G3QRU9_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000005503;ENSGGOG00000005474;37077;34.74;7;81.0;4135.0;1;0;1;0;Unconfirmed;0;0;186;False;False
BBS13;G3QKV3_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000003156;ENSGGOG00000003139;14091;47.46;18;133.4;675.2;0;0;0;0;Confirmed;0;0;559;True;True
BBS1;G3RBR0_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000013296;ENSGGOG00000013241;23043;49.89;17;200.7;1226.4;0;0;0;0;Confirmed;36;36;593;True;True
BBS21;G3QXT9_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000007857;ENSGGOG00000007824;22231;37.39;6;209.7;4194.6;0;0;0;0;Confirmed;0;0;207;True;True
BBS11;G3RQW7_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOT00000028522;ENSGGOG00000025006;1962;54.59;1;1962.0;0;0;0;0;0;Confirmed;0;0;649;True;True
BBS8;Q5RA46_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000007159;ENSPPYG00000006055;60447;36.6;14;168.6;4468.2;0;0;0;0;Confirmed;4273;0;505;True;True
BBS15;H2P625_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000014358;ENSPPYG00000012374;467229;36.96;19;117.8;25832.8;1;1;0;0;Unconfirmed;24550;0;745;False;False
BBS5;H2P7R4_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000014996;ENSPPYG00000012911;28482;38.33;18;101.8;1567.6;0;0;0;0;Confirmed;625;1;341;True;True
BBS20;H2PS04_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000022338;ENSPPYG00000019159;127257;37.69;20;303.5;6378.3;0;0;0;0;Confirmed;5542;0;600;True;True
BBS6;MKKS_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000012442;ENSPPYG00000010706;28694;38.32;6;459.5;5187.4;0;0;0;0;Confirmed;986;0;570;True;True
BBS17;LZTL1_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000016215;ENSPPYG00000013942;18307;38.75;10;352.1;1642.9;0;0;0;0;Confirmed;277;0;299;True;True
BBS9;H2PME6_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000020564;ENSPPYG00000017651;220031;36.97;13;122.5;18203.2;1;0;0;1;Unconfirmed;6872;0;528;False;True
BBS18;H2NBL0_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000003191;ENSPPYG00000002650;1209;36.97;2;103.5;1002.0;0;0;0;0;Confirmed;0;0;69;False;False
BBS4;H2NNP4_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000007813;ENSPPYG00000006620;50746;40.46;15;114.1;3502.5;0;0;0;0;Confirmed;1658;0;495;False;True
BBS11;H2PT77_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000022806;ENSPPYG00000019547;1962;54.74;1;1962.0;0;0;0;0;0;Confirmed;0;0;648;False;False
BBS13;H2NVE1_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000010342;ENSPPYG00000008864;8891;45.95;11;101.2;777.8;1;0;0;1;Unconfirmed;30;0;343;True;True
BBS2;H2NQY4_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000008662;ENSPPYG00000007368;36159;39.57;16;155.7;2244.5;1;0;1;0;Unconfirmed;2514;0;720;True;True
BBS1;H2NCR2_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000003624;ENSPPYG00000003022;21265;50.12;17;198.1;1118.6;0;0;0;0;Confirmed;20;0;593;True;True
BBS7;H2PE85_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000017480;ENSPPYG00000015039;44651;35.8;20;108.6;2235.7;0;0;0;0;Confirmed;744;1;715;False;True
BBS21;H2PQU8_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000021886;ENSPPYG00000018761;34274;38.62;7;162.9;5522.3;0;0;0;0;Confirmed;93;0;208;True;True
BBS19;H2P491_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000013676;ENSPPYG00000011777;19064;50.94;7;168.0;2981.3;0;0;0;0;Confirmed;1752;0;181;True;True
BBS16;H2N391_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYT00000000065;ENSPPYG00000000061;246695;39.59;18;154.7;14347.7;0;0;0;0;Confirmed;4730;0;713;True;False
BBS10;G1QXS8_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000006048;ENSNLEG00000004748;3962;37.66;2;1793.5;375.0;0;0;0;0;Confirmed;0;0;724;True;True
BBS12;G1S9G6_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000023278;ENSNLEG00000018253;2133;39.8;1;2133.0;0;0;0;0;0;Confirmed;0;0;710;False;False
BBS2;G1QNZ0_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000002798;ENSNLEG00000002099;35117;39.2;17;162.8;2021.9;0;0;0;0;Confirmed;906;906;721;True;True
BBS13;G1R9L0_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000010385;ENSNLEG00000008099;12206;47.61;18;89.5;623.2;0;0;0;0;Confirmed;100;100;559;True;True
BBS5;G1QY66_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000006196;ENSNLEG00000026730;25485;38.94;12;121.2;2184.5;0;0;0;0;Confirmed;343;343;341;True;True
BBS16;G1QUW7_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000004982;ENSNLEG00000003873;274742;39.81;18;119.0;16035.3;0;0;0;0;Confirmed;16907;16907;713;True;True
BBS7;G1RDU8_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000011956;ENSNLEG00000009344;52027;36.46;19;196.8;2682.6;0;0;0;0;Confirmed;200;200;715;True;False
BBS4;G1RV53_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000017991;ENSNLEG00000014060;52220;40.51;17;149.3;3105.1;1;1;0;0;Unconfirmed;377;377;526;False;True
BBS17;G1R2E6_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000007733;ENSNLEG00000006084;82537;42.68;10;150.3;1677.6;1;1;0;0;Unconfirmed;0;0;282;True;True
BBS9;G1RZS0_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000019688;ENSNLEG00000015425;479401;37.28;21;126.1;23837.6;0;0;0;0;Confirmed;19391;19391;887;True;True
BBS1;M3ZCM3_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000032825;ENSNLEG00000026642;21889;49.98;13;239.3;1564.8;0;0;0;0;Confirmed;1655;1655;391;True;True
BBS6;G1RWH4_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000018479;ENSNLEG00000014461;29607;38.73;6;459.8;5369.6;0;0;0;0;Confirmed;300;300;570;True;True
BBS15;G1RFG0_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000012543;ENSNLEG00000009810;480642;37.18;18;124.5;28131.1;1;1;0;0;Unconfirmed;10213;10213;746;False;True
BBS20;G1S2T2_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLET00000020817;ENSNLEG00000016321;126683;37.54;20;90.2;6572.6;0;0;0;0;Confirmed;17813;17813;598;True;False
BBS13;A0A0D9R018_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000003684;ENSCSAG00000005647;17291;47.93;18;356.7;639.5;0;0;0;0;Confirmed;0;0;559;True;True
BBS7;A0A0D9QUM7_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000001725;ENSCSAG00000003698;51107;36.63;19;112.9;2720.1;0;0;0;0;Confirmed;40;40;715;False;False
BBS3;A0A0D9R0X9_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000004003;ENSCSAG00000005966;40240;34.83;8;620.1;5039.9;0;0;0;0;Confirmed;20;20;186;True;True
BBS15;A0A0D9RQB1_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000012777;ENSCSAG00000014684;371776;36.91;17;271.8;22947.2;0;0;0;0;Confirmed;111;111;713;True;True
BBS1;A0A0D9R7I6_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000006368;ENSCSAG00000008318;27155;49.59;17;224.6;1458.6;0;0;0;0;Confirmed;20;20;593;True;True
BBS18;A0A0D9QYN2_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000003183;ENSCSAG00000005150;1409;35.13;3;94.0;563.5;1;1;0;0;Unconfirmed;0;0;93;False;False
BBS17;A0A0D9RUP7_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000014360;ENSCSAG00000016264;12955;38.56;10;129.0;1296.1;1;1;0;0;Unconfirmed;0;0;282;True;False
BBS10;A0A0D9QVJ6_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000002057;ENSCSAG00000004028;2659;41.11;2;1140.0;379.0;0;0;0;0;Confirmed;0;0;720;True;False
BBS16;A0A0D9RAF2_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000007412;ENSCSAG00000009336;245492;39.97;18;133.2;14299.6;0;0;0;0;Confirmed;20;20;712;True;False
BBS21;A0A0D9RJ69_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000010566;ENSCSAG00000012476;21252;37.22;6;163.3;4054.4;0;0;0;0;Confirmed;10;10;207;True;False
BBS19;A0A0D9R698_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000005923;ENSCSAG00000007875;17930;51.34;7;136.0;2829.7;0;0;0;0;Confirmed;10;10;181;True;False
BBS2;A0A0D9QYK6_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000003154;ENSCSAG00000005126;34925;39.51;17;168.8;2003.4;0;0;0;0;Confirmed;0;0;721;True;True
BBS20;A0A0D9RBM3_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000007848;ENSCSAG00000009766;120476;37.01;20;261.8;6065.3;0;0;0;0;Confirmed;30;20;600;True;True
BBS8;A0A0D9RGH8_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000009605;ENSCSAG00000011521;55279;36.83;15;105.7;3835.3;1;0;1;0;Unconfirmed;160;150;515;True;False
BBS12;A0A0D9S9R9_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000018141;ENSCSAG00000000394;2133;40.13;1;2133.0;0;0;0;0;0;Confirmed;0;0;710;False;False
BBS4;A0A0D9RN20_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000011955;ENSCSAG00000013892;32059;41.17;14;106.1;2351.8;1;1;0;0;Unconfirmed;21;20;494;False;False
BBS6;A0A0D9RMF9_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000011735;ENSCSAG00000013641;20701;37.22;6;407.7;3651.0;0;0;0;0;Confirmed;0;0;570;True;False
BBS5;A0A0D9RRT6_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000013322;ENSCSAG00000015222;25341;37.53;12;113.8;2179.5;0;0;0;0;Confirmed;80;80;341;True;True
BBS11;A0A0D9S9I9_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000018060;ENSCSAG00000000475;1962;54.28;1;1962.0;0;0;0;0;0;Confirmed;0;0;648;False;False
BBS9;A0A0D9RQV3_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAT00000012976;ENSCSAG00000014886;493963;37.12;23;179.2;22265.5;0;0;0;0;Confirmed;249;238;887;True;True
BBS21;G7PC93_MACFA;MACFA;Macaca fascicularis;Opisthokonta;Metazoa;ENSMFAT00000034091;ENSMFAG00000044442;23843;37.78;6;565.5;4090.0;0;0;0;0;Confirmed;0;0;207;True;True
BBS3;G7NZ67_MACFA;MACFA;Macaca fascicularis;Opisthokonta;Metazoa;ENSMFAT00000030144;ENSMFAG00000035901;35083;34.78;8;161.1;4827.7;0;0;0;0;Confirmed;0;0;186;True;True
BBS8;G7PB52_MACFA;MACFA;Macaca fascicularis;Opisthokonta;Metazoa;ENSMFAT00000023859;ENSMFAG00000002219;54176;36.58;15;151.4;3707.4;1;0;1;0;Unconfirmed;0;0;531;True;True
BBS20;Q4R679_MACFA;MACFA;Macaca fascicularis;Opisthokonta;Metazoa;ENSMFAT00000023020;ENSMFAG00000001877;118905;37.41;20;103.2;6149.5;0;0;0;0;Confirmed;899;899;600;True;True
BBS18;G7PDY7_MACFA;MACFA;Macaca fascicularis;Opisthokonta;Metazoa;ENSMFAT00000005056;ENSMFAG00000042601;21498;38.74;2;102.0;17994.0;0;0;0;0;Confirmed;100;100;67;False;False
BBS11;G7PRK5_MACFA;MACFA;Macaca fascicularis;Opisthokonta;Metazoa;ENSMFAT00000045758;ENSMFAG00000012352;1962;54.38;1;1962.0;0;0;0;0;0;Confirmed;0;0;648;False;False
BBS13;G7PUF5_MACFA;MACFA;Macaca fascicularis;Opisthokonta;Metazoa;ENSMFAT00000023993;ENSMFAG00000002254;13767;47.98;18;133.6;656.0;0;0;0;0;Confirmed;0;0;559;True;True
BBS5;F7B395_MACMU;MACMU;Macaca mulatta;Opisthokonta;Metazoa;ENSMMUT00000028862;ENSMMUG00000020510;46452;37.79;16;102.2;2899.5;0;0;0;0;Confirmed;0;0;341;False;False
BBS3;F7EGS4_MACMU;MACMU;Macaca mulatta;Opisthokonta;Metazoa;ENSMMUT00000032822;ENSMMUG00000038349;53646;36.59;9;128.2;6561.5;0;0;0;0;Confirmed;20;0;186;True;True
BBS13;F7H279_MACMU;MACMU;Macaca mulatta;Opisthokonta;Metazoa;ENSMMUT00000016769;ENSMMUG00000011971;13115;47.69;18;91.7;674.4;1;1;0;0;Unconfirmed;20;0;416;False;False
BBS9;F7HDG7_MACMU;MACMU;Macaca mulatta;Opisthokonta;Metazoa;ENSMMUT00000004096;ENSMMUG00000002886;489887;37.27;23;119.5;22142.6;0;0;0;0;Confirmed;2603;0;887;True;False
BBS17;F7B2E3_MACMU;MACMU;Macaca mulatta;Opisthokonta;Metazoa;ENSMMUT00000014714;ENSMMUG00000010516;90958;39.13;9;99.0;1225.0;0;0;0;0;Confirmed;40;0;298;False;False
BBS4;F6SCB7_MACMU;MACMU;Macaca mulatta;Opisthokonta;Metazoa;ENSMMUT00000019222;ENSMMUG00000013685;36380;41.04;14;184.4;2599.5;0;0;0;0;Confirmed;1131;0;519;True;True
BBS12;F7H903_MACMU;MACMU;Macaca mulatta;Opisthokonta;Metazoa;ENSMMUT00000041817;ENSMMUG00000030171;2133;39.99;1;2133.0;0;2;0;2;0;Unconfirmed;0;0;671;False;False
BBS8;F6Q0A8_MACMU;MACMU;Macaca mulatta;Opisthokonta;Metazoa;ENSMMUT00000006530;ENSMMUG00000004612;56311;36.63;15;103.0;3712.5;1;0;1;0;Unconfirmed;0;0;531;False;False
